id,label
234,0
189,0
564,2
596,1
259,0
23,0
569,2
46,0
307,0
544,2
119,0
182,0
511,0
71,1
609,1
112,1
498,0
138,0
335,0
341,0
205,0
213,0
60,0
133,0
656,1
291,0
446,0
116,0
161,0
781,1
772,1
62,0
747,1
809,1
552,2
836,1
491,0
425,0
22,0
350,0
168,0
626,1
404,0
322,0
70,0
176,0
388,0
454,0
646,1
249,0
504,0
532,0
803,1
439,2
827,1
129,0
64,0
633,1
693,1
671,1
481,0
476,0
319,1
517,0
194,0
91,0
414,0
811,1
381,0
280,0
527,0
739,1
155,0
33,0
106,0
360,0
253,0
18,0
408,0
378,0
760,1
441,0
354,0
589,2
315,1
484,0
841,1
752,1
294,0
390,0
720,1
785,1
676,1
300,0
10,0
821,1
585,2
712,1
98,1
775,1
73,0
796,1
575,2
767,1
209,0
27,0
717,1
225,0
367,0
426,0
147,0
241,0
469,0
664,1
688,1
612,1
264,0
398,0
734,1
