id,label
494,0
361,0
96,2
370,0
398,0
544,0
497,0
286,1
78,2
295,1
253,1
413,0
30,2
53,2
205,1
104,2
438,0
136,1
320,1
336,1
18,2
316,1
466,0
367,0
392,0
266,1
490,0
387,0
507,0
479,0
425,0
457,0
502,0
532,0
206,1
174,1
348,1
270,1
549,0
258,1
236,2
473,0
595,0
402,0
443,0
330,1
568,0
67,2
309,1
354,1
278,1
376,0
194,1
248,2
134,1
158,1
218,1
513,0
290,1
519,0
522,0
417,0
557,0
454,0
122,2
146,1
160,1
381,0
601,0
484,0
221,1
357,1
447,0
127,2
581,0
80,2
323,2
420,0
343,1
432,0
305,1
23,2
408,0
185,1
