id,label
386,0
537,0
346,1
206,1
353,1
314,1
477,0
214,1
240,1
254,1
322,1
338,1
335,1
266,1
495,0
556,0
456,0
364,0
288,1
496,0
429,0
292,1
486,0
418,0
487,0
150,1
363,0
509,0
419,0
530,0
284,2
513,0
590,0
289,1
86,2
290,1
50,2
468,0
80,2
378,0
33,2
417,0
454,0
435,0
159,1
445,0
62,2
572,0
382,0
387,0
327,1
470,0
372,0
174,1
547,0
75,2
421,0
367,0
336,1
9,2
92,2
596,0
13,2
553,0
383,0
381,0
201,1
15,2
301,1
442,0
304,1
96,2
317,1
124,2
217,2
213,1
42,2
23,2
365,0
252,1
407,0
518,0
245,1
431,0
230,1
175,1
255,1
413,0
12,2
111,2
490,0
568,0
369,0
482,0
273,1
427,0
344,1
112,2
183,1
423,0
585,0
82,2
494,0
108,2
274,1
343,1
471,0
497,0
231,1
467,0
316,1
293,2
579,0
18,2
524,0
191,1
580,0
144,1
394,0
593,0
388,0
354,1
356,1
502,0
45,2
469,0
221,1
342,1
83,2
481,0
302,1
57,2
318,1
452,0
270,1
493,0
324,2
298,1
258,1
515,0
348,1
410,0
66,2
250,1
476,0
396,0
581,0
447,0
308,1
440,0
208,1
55,2
370,0
506,0
1,2
267,1
330,1
158,1
444,0
287,1
392,0
582,0
538,0
94,2
595,0
32,2
262,1
350,1
61,2
492,0
397,0
246,2
166,1
320,1
352,1
99,2
30,2
332,1
279,1
448,0
237,2
143,1
457,0
178,1
441,0
376,0
265,1
466,0
474,0
521,0
315,1
84,2
145,1
241,1
491,0
131,1
424,0
523,0
400,0
536,0
347,1
268,1
463,0
24,2
500,0
393,0
341,1
428,0
179,1
529,0
36,2
154,1
501,0
151,1
136,1
359,0
253,1
296,1
125,2
436,0
232,2
385,0
545,0
269,1
455,0
355,1
425,0
78,2
426,0
307,1
264,1
398,0
194,1
146,1
438,0
114,2
591,0
319,1
135,1
21,2
128,2
5,2
406,0
554,0
601,0
434,0
4,2
157,1
449,0
219,1
514,0
31,2
51,2
345,1
28,2
416,0
117,2
8,2
409,0
211,1
215,2
414,0
512,0
259,1
597,0
160,1
460,0
326,1
203,1
533,0
127,2
70,2
420,0
526,0
278,1
249,1
53,2
459,0
305,1
223,1
180,1
519,0
479,0
181,1
567,0
408,0
27,2
517,0
133,1
399,0
199,1
532,0
164,1
170,1
557,0
484,0
122,2
384,0
404,0
534,0
362,0
325,1
540,0
295,1
361,0
403,0
340,1
437,0
395,0
331,1
49,2
294,1
599,0
485,0
187,1
226,2
377,0
89,2
299,1
141,1
38,2
37,2
138,1
371,0
358,1
391,0
222,1
129,1
186,1
511,0
569,0
165,1
205,1
321,1
472,0
522,0
323,2
198,1
339,1
286,1
368,0
432,0
422,0
405,0
134,1
251,1
443,0
272,1
182,1
313,1
156,1
504,0
483,0
366,0
505,0
478,0
312,1
229,1
503,0
507,0
73,2
453,0
488,0
357,1
35,2
527,0
276,1
104,2
389,0
464,0
329,1
85,2
525,0
439,0
